match_id,matchday,matchDateTime,home_team,away_team,home_goals,away_goals
72214,1,2024-08-23T20:30:00,Borussia Mönchengladbach,Bayer Leverkusen,2,3
72215,1,2024-08-24T15:30:00,RB Leipzig,VfL Bochum,1,0
72217,1,2024-08-24T15:30:00,TSG 1899 Hoffenheim,Holstein Kiel,3,2
72218,1,2024-08-24T15:30:00,SC Freiburg,VfB Stuttgart,3,1
72219,1,2024-08-24T15:30:00,FC Augsburg,Werder Bremen,2,2
72221,1,2024-08-24T15:30:00,1. FSV Mainz 05,1. FC Union Berlin,1,1
72216,1,2024-08-24T18:30:00,Borussia Dortmund,Eintracht Frankfurt,2,0
72220,1,2024-08-25T15:30:00,VfL Wolfsburg,FC Bayern München,2,3
72222,1,2024-08-25T17:30:00,FC St. Pauli,1. FC Heidenheim 1846,0,2
72229,2,2024-08-30T20:30:00,1. FC Union Berlin,FC St. Pauli,1,0
72224,2,2024-08-31T15:30:00,VfB Stuttgart,1. FSV Mainz 05,3,3
72226,2,2024-08-31T15:30:00,Eintracht Frankfurt,TSG 1899 Hoffenheim,3,1
72228,2,2024-08-31T15:30:00,Werder Bremen,Borussia Dortmund,0,0
72230,2,2024-08-31T15:30:00,VfL Bochum,Borussia Mönchengladbach,0,2
72231,2,2024-08-31T15:30:00,Holstein Kiel,VfL Wolfsburg,0,2
72223,2,2024-08-31T18:30:00,Bayer Leverkusen,RB Leipzig,2,3
72227,2,2024-09-01T15:30:00,1. FC Heidenheim 1846,FC Augsburg,4,0
72225,2,2024-09-01T17:30:00,FC Bayern München,SC Freiburg,2,0
72233,3,2024-09-13T20:30:00,Borussia Dortmund,1. FC Heidenheim 1846,4,2
72232,3,2024-09-14T15:30:00,RB Leipzig,1. FC Union Berlin,0,0
72234,3,2024-09-14T15:30:00,TSG 1899 Hoffenheim,Bayer Leverkusen,1,4
72235,3,2024-09-14T15:30:00,SC Freiburg,VfL Bochum,2,1
72237,3,2024-09-14T15:30:00,VfL Wolfsburg,Eintracht Frankfurt,1,2
72239,3,2024-09-14T15:30:00,Borussia Mönchengladbach,VfB Stuttgart,1,3
72240,3,2024-09-14T18:30:00,Holstein Kiel,FC Bayern München,1,6
72236,3,2024-09-15T15:30:00,FC Augsburg,FC St. Pauli,3,1
72238,3,2024-09-15T17:30:00,1. FSV Mainz 05,Werder Bremen,1,2
72246,4,2024-09-20T20:30:00,FC Augsburg,1. FSV Mainz 05,2,3
72244,4,2024-09-21T15:30:00,1. FC Heidenheim 1846,SC Freiburg,0,3
72245,4,2024-09-21T15:30:00,Werder Bremen,FC Bayern München,0,5
72247,4,2024-09-21T15:30:00,1. FC Union Berlin,TSG 1899 Hoffenheim,2,1
72248,4,2024-09-21T15:30:00,VfL Bochum,Holstein Kiel,2,2
72243,4,2024-09-21T18:30:00,Eintracht Frankfurt,Borussia Mönchengladbach,2,0
72241,4,2024-09-22T15:30:00,Bayer Leverkusen,VfL Wolfsburg,4,3
72242,4,2024-09-22T17:30:00,VfB Stuttgart,Borussia Dortmund,5,1
72249,4,2024-09-22T19:30:00,FC St. Pauli,RB Leipzig,0,0
72252,5,2024-09-27T20:30:00,Borussia Dortmund,VfL Bochum,4,2
72251,5,2024-09-28T15:30:00,RB Leipzig,FC Augsburg,4,0
72254,5,2024-09-28T15:30:00,SC Freiburg,FC St. Pauli,0,3
72255,5,2024-09-28T15:30:00,VfL Wolfsburg,VfB Stuttgart,2,2
72256,5,2024-09-28T15:30:00,1. FSV Mainz 05,1. FC Heidenheim 1846,0,2
72257,5,2024-09-28T15:30:00,Borussia Mönchengladbach,1. FC Union Berlin,1,0
72250,5,2024-09-28T18:30:00,FC Bayern München,Bayer Leverkusen,1,1
72258,5,2024-09-29T15:30:00,Holstein Kiel,Eintracht Frankfurt,2,4
72253,5,2024-09-29T17:30:00,TSG 1899 Hoffenheim,Werder Bremen,3,4
72264,6,2024-10-04T20:30:00,FC Augsburg,Borussia Mönchengladbach,2,1
72259,6,2024-10-05T15:30:00,Bayer Leverkusen,Holstein Kiel,2,2
72263,6,2024-10-05T15:30:00,Werder Bremen,SC Freiburg,0,1
72265,6,2024-10-05T15:30:00,1. FC Union Berlin,Borussia Dortmund,2,1
72266,6,2024-10-05T15:30:00,VfL Bochum,VfL Wolfsburg,1,3
72267,6,2024-10-05T18:30:00,FC St. Pauli,1. FSV Mainz 05,0,3
72262,6,2024-10-06T15:30:00,1. FC Heidenheim 1846,RB Leipzig,0,1
72261,6,2024-10-06T17:30:00,Eintracht Frankfurt,FC Bayern München,3,3
72260,6,2024-10-06T19:30:00,VfB Stuttgart,TSG 1899 Hoffenheim,1,1
72270,7,2024-10-18T20:30:00,Borussia Dortmund,FC St. Pauli,2,1
72268,7,2024-10-19T15:30:00,Bayer Leverkusen,Eintracht Frankfurt,2,1
72271,7,2024-10-19T15:30:00,TSG 1899 Hoffenheim,VfL Bochum,3,1
72272,7,2024-10-19T15:30:00,SC Freiburg,FC Augsburg,3,1
72274,7,2024-10-19T15:30:00,1. FSV Mainz 05,RB Leipzig,0,2
72275,7,2024-10-19T15:30:00,Borussia Mönchengladbach,1. FC Heidenheim 1846,3,2
72269,7,2024-10-19T18:30:00,FC Bayern München,VfB Stuttgart,4,0
72276,7,2024-10-20T15:30:00,Holstein Kiel,1. FC Union Berlin,0,2
72273,7,2024-10-20T17:30:00,VfL Wolfsburg,Werder Bremen,2,4
72282,8,2024-10-25T20:30:00,1. FSV Mainz 05,Borussia Mönchengladbach,1,1
72277,8,2024-10-26T15:30:00,VfB Stuttgart,Holstein Kiel,2,1
72278,8,2024-10-26T15:30:00,RB Leipzig,SC Freiburg,3,1
72281,8,2024-10-26T15:30:00,FC Augsburg,Borussia Dortmund,2,1
72285,8,2024-10-26T15:30:00,FC St. Pauli,VfL Wolfsburg,0,0
72280,8,2024-10-26T18:30:00,Werder Bremen,Bayer Leverkusen,2,2
72284,8,2024-10-27T15:30:00,VfL Bochum,FC Bayern München,0,5
72283,8,2024-10-27T17:30:00,1. FC Union Berlin,Eintracht Frankfurt,1,1
72279,8,2024-10-27T19:30:00,1. FC Heidenheim 1846,TSG 1899 Hoffenheim,0,0
72286,9,2024-11-01T20:30:00,Bayer Leverkusen,VfB Stuttgart,0,0
72287,9,2024-11-02T15:30:00,FC Bayern München,1. FC Union Berlin,3,0
72289,9,2024-11-02T15:30:00,Eintracht Frankfurt,VfL Bochum,7,2
72290,9,2024-11-02T15:30:00,TSG 1899 Hoffenheim,FC St. Pauli,0,2
72292,9,2024-11-02T15:30:00,VfL Wolfsburg,FC Augsburg,1,1
72294,9,2024-11-02T15:30:00,Holstein Kiel,1. FC Heidenheim 1846,1,0
72288,9,2024-11-02T18:30:00,Borussia Dortmund,RB Leipzig,2,1
72291,9,2024-11-03T15:30:00,SC Freiburg,1. FSV Mainz 05,0,0
72293,9,2024-11-03T17:30:00,Borussia Mönchengladbach,Werder Bremen,4,1
72301,10,2024-11-08T20:30:00,1. FC Union Berlin,SC Freiburg,0,0
72298,10,2024-11-09T15:30:00,Werder Bremen,Holstein Kiel,2,1
72300,10,2024-11-09T15:30:00,1. FSV Mainz 05,Borussia Dortmund,3,1
72302,10,2024-11-09T15:30:00,VfL Bochum,Bayer Leverkusen,1,1
72303,10,2024-11-09T15:30:00,FC St. Pauli,FC Bayern München,0,1
72296,10,2024-11-09T18:30:00,RB Leipzig,Borussia Mönchengladbach,0,0
72299,10,2024-11-10T15:30:00,FC Augsburg,TSG 1899 Hoffenheim,0,0
