match_id,goalID,score_home,score_away,matchMinute,goalGetterID,team,goalGetterName
72214,116409,0,1,12,14289,Bayer Leverkusen,Granit Xhaka
72214,116410,0,2,38,18494,Bayer Leverkusen,Florian Wirtz
72214,116412,1,2,59,18490,Borussia Mönchengladbach,N. Elvedi
72214,116413,2,2,85,18551,Borussia Mönchengladbach,T. Kleindienst
72214,116414,2,3,90,18494,Bayer Leverkusen,Florian Wirtz
72215,116446,1,0,59,22891,RB Leipzig,A. Nusa
72217,116433,1,0,6,18327,TSG 1899 Hoffenheim,A. Kramaric
72217,116442,2,0,37,18327,TSG 1899 Hoffenheim,A. Kramaric
72217,116448,2,1,63,21361,Holstein Kiel,A. Bernhardsson
72217,116450,3,1,87,18327,TSG 1899 Hoffenheim,A. Kramaric
72217,116451,3,2,89,21360,Holstein Kiel,S. Machino
72218,116432,0,1,2,18339,VfB Stuttgart,Ermedin Demirovic
72218,116437,1,1,27,19309,SC Freiburg,L. Kübler
72218,116444,2,1,54,18500,SC Freiburg,Ritsu Doan
72218,116447,3,1,61,19309,SC Freiburg,L. Kübler
72219,116434,0,1,12,18477,Werder Bremen,F. Agu
72219,116435,1,1,16,18554,FC Augsburg,E. Rexhbiecaj
72219,116441,2,1,35,22921,FC Augsburg,S. Essende
72219,116445,2,2,58,22922,Werder Bremen,J. Njinmah
72221,116443,1,0,53,18410,1. FSV Mainz 05,N. Amiri
72221,116449,1,1,74,18356,1. FC Union Berlin,L. Benes
72216,116461,1,0,72,19460,Borussia Dortmund,J. Bynoe-Gittens
72216,116462,2,0,90,19460,Borussia Dortmund,J. Bynoe-Gittens
72220,116477,0,1,20,18700,FC Bayern München,J. Musiala
72220,116478,1,1,46,19739,VfL Wolfsburg,L. Majer
72220,116479,2,1,55,19739,VfL Wolfsburg,L. Majer
72220,116480,2,2,65,18898,FC Bayern München,H. Kane
72220,116481,2,3,82,18461,FC Bayern München,Serge Gnabry
72222,116488,0,1,66,20933,1. FC Heidenheim 1846,P. Wanner
72222,116489,0,2,82,19780,1. FC Heidenheim 1846,J. Schöppner
72229,116894,1,0,34,19536,1. FC Union Berlin,Benedict Hollerbach
72224,116923,1,0,8,20034,VfB Stuttgart,E. Millot
72224,116925,2,0,15,21337,VfB Stuttgart,J. Leweling
72224,116932,2,1,42,18410,1. FSV Mainz 05,N. Amiri
72224,116935,2,2,62,19126,1. FSV Mainz 05,J. Burkardt
72224,116938,3,2,88,20560,VfB Stuttgart,Florian Rieder
72224,116939,3,3,94,16862,1. FSV Mainz 05,Leitsch
72226,116926,1,0,24,22919,Eintracht Frankfurt,Hugo Ekitike
72226,116931,2,0,33,6467,Eintracht Frankfurt,Larsson
72226,116933,2,1,54,18327,TSG 1899 Hoffenheim,A. Kramaric
72226,116934,3,1,56,18444,Eintracht Frankfurt,O. Marmoush
72230,116936,0,1,67,18551,Borussia Mönchengladbach,T. Kleindienst
72230,116937,0,2,78,20147,Borussia Mönchengladbach,F. Honorat
72231,116927,0,1,27,18591,VfL Wolfsburg,M. Arnold
72231,116928,0,2,30,18785,VfL Wolfsburg,S. Bornauw
