matchday,position,team,matches,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points
1,1,SC Freiburg,1,1,0,0,3.0,1.0,2.0,3
1,2,Borussia Dortmund,1,1,0,0,2.0,0.0,2.0,3
1,3,1. FC Heidenheim 1846,1,1,0,0,2.0,0.0,2.0,3
1,4,Bayer Leverkusen,1,1,0,0,3.0,2.0,1.0,3
1,5,TSG 1899 Hoffenheim,1,1,0,0,3.0,2.0,1.0,3
1,6,FC Bayern München,1,1,0,0,3.0,2.0,1.0,3
1,7,RB Leipzig,1,1,0,0,1.0,0.0,1.0,3
1,8,FC Augsburg,1,0,1,0,2.0,2.0,0.0,1
1,9,Werder Bremen,1,0,1,0,2.0,2.0,0.0,1
1,10,1. FSV Mainz 05,1,0,1,0,1.0,1.0,0.0,1
1,11,1. FC Union Berlin,1,0,1,0,1.0,1.0,0.0,1
1,12,Borussia Mönchengladbach,1,0,0,1,2.0,3.0,-1.0,0
1,13,Holstein Kiel,1,0,0,1,2.0,3.0,-1.0,0
1,14,VfL Wolfsburg,1,0,0,1,2.0,3.0,-1.0,0
1,15,VfL Bochum,1,0,0,1,0.0,1.0,-1.0,0
1,16,VfB Stuttgart,1,0,0,1,1.0,3.0,-2.0,0
1,17,Eintracht Frankfurt,1,0,0,1,0.0,2.0,-2.0,0
1,18,FC St. Pauli,1,0,0,1,0.0,2.0,-2.0,0
2,1,1. FC Heidenheim 1846,2,2,0,0,6.0,0.0,6.0,6
2,2,FC Bayern München,2,2,0,0,5.0,2.0,3.0,6
2,3,RB Leipzig,2,2,0,0,4.0,2.0,2.0,6
2,4,Borussia Dortmund,2,1,1,0,2.0,0.0,2.0,4
2,5,1. FC Union Berlin,2,1,1,0,2.0,1.0,1.0,4
2,6,Borussia Mönchengladbach,2,1,0,1,4.0,3.0,1.0,3
2,7,VfL Wolfsburg,2,1,0,1,4.0,3.0,1.0,3
2,8,Bayer Leverkusen,2,1,0,1,5.0,5.0,0.0,3
2,9,SC Freiburg,2,1,0,1,3.0,3.0,0.0,3
2,10,Eintracht Frankfurt,2,1,0,1,3.0,3.0,0.0,3
2,11,TSG 1899 Hoffenheim,2,1,0,1,4.0,5.0,-1.0,3
2,12,1. FSV Mainz 05,2,0,2,0,4.0,4.0,0.0,2
2,13,Werder Bremen,2,0,2,0,2.0,2.0,0.0,2
2,14,VfB Stuttgart,2,0,1,1,4.0,6.0,-2.0,1
2,15,FC Augsburg,2,0,1,1,2.0,6.0,-4.0,1
2,16,Holstein Kiel,2,0,0,2,2.0,5.0,-3.0,0
2,17,VfL Bochum,2,0,0,2,0.0,3.0,-3.0,0
2,18,FC St. Pauli,2,0,0,2,0.0,3.0,-3.0,0
3,1,FC Bayern München,3,3,0,0,11.0,3.0,8.0,9
3,2,Borussia Dortmund,3,2,1,0,6.0,2.0,4.0,7
3,3,RB Leipzig,3,2,1,0,4.0,2.0,2.0,7
3,4,1. FC Heidenheim 1846,3,2,0,1,8.0,4.0,4.0,6
3,5,Bayer Leverkusen,3,2,0,1,9.0,6.0,3.0,6
3,6,SC Freiburg,3,2,0,1,5.0,4.0,1.0,6
3,7,Eintracht Frankfurt,3,2,0,1,5.0,4.0,1.0,6
3,8,Werder Bremen,3,1,2,0,4.0,3.0,1.0,5
3,9,1. FC Union Berlin,3,1,2,0,2.0,1.0,1.0,5
3,10,VfB Stuttgart,3,1,1,1,7.0,7.0,0.0,4
3,11,FC Augsburg,3,1,1,1,5.0,7.0,-2.0,4
3,12,VfL Wolfsburg,3,1,0,2,5.0,5.0,0.0,3
3,13,Borussia Mönchengladbach,3,1,0,2,5.0,6.0,-1.0,3
3,14,TSG 1899 Hoffenheim,3,1,0,2,5.0,9.0,-4.0,3
3,15,1. FSV Mainz 05,3,0,2,1,5.0,6.0,-1.0,2
3,16,VfL Bochum,3,0,0,3,1.0,5.0,-4.0,0
3,17,FC St. Pauli,3,0,0,3,1.0,6.0,-5.0,0
3,18,Holstein Kiel,3,0,0,3,3.0,11.0,-8.0,0
4,1,FC Bayern München,4,4,0,0,16.0,3.0,13.0,12
4,2,Bayer Leverkusen,4,3,0,1,13.0,9.0,4.0,9
4,3,SC Freiburg,4,3,0,1,8.0,4.0,4.0,9
4,4,Eintracht Frankfurt,4,3,0,1,7.0,4.0,3.0,9
4,5,RB Leipzig,4,2,2,0,4.0,2.0,2.0,8
4,6,1. FC Union Berlin,4,2,2,0,4.0,2.0,2.0,8
4,7,VfB Stuttgart,4,2,1,1,12.0,8.0,4.0,7
4,8,Borussia Dortmund,4,2,1,1,7.0,7.0,0.0,7
4,9,1. FC Heidenheim 1846,4,2,0,2,8.0,7.0,1.0,6
4,10,1. FSV Mainz 05,4,1,2,1,8.0,8.0,0.0,5
4,11,Werder Bremen,4,1,2,1,4.0,8.0,-4.0,5
4,12,FC Augsburg,4,1,1,2,7.0,10.0,-3.0,4
4,13,VfL Wolfsburg,4,1,0,3,8.0,9.0,-1.0,3
4,14,Borussia Mönchengladbach,4,1,0,3,5.0,8.0,-3.0,3
4,15,TSG 1899 Hoffenheim,4,1,0,3,6.0,11.0,-5.0,3
4,16,VfL Bochum,4,0,1,3,3.0,7.0,-4.0,1
4,17,FC St. Pauli,4,0,1,3,1.0,6.0,-5.0,1
4,18,Holstein Kiel,4,0,1,3,5.0,13.0,-8.0,1
5,1,FC Bayern München,5,4,1,0,17.0,4.0,13.0,13
5,2,Eintracht Frankfurt,5,4,0,1,11.0,6.0,5.0,12
5,3,RB Leipzig,5,3,2,0,8.0,2.0,6.0,11
5,4,Bayer Leverkusen,5,3,1,1,14.0,10.0,4.0,10
5,5,Borussia Dortmund,5,3,1,1,11.0,9.0,2.0,10
5,6,1. FC Heidenheim 1846,5,3,0,2,10.0,7.0,3.0,9
5,7,SC Freiburg,5,3,0,2,8.0,7.0,1.0,9
5,8,VfB Stuttgart,5,2,2,1,14.0,10.0,4.0,8
5,9,1. FC Union Berlin,5,2,2,1,4.0,3.0,1.0,8
5,10,Werder Bremen,5,2,2,1,8.0,11.0,-3.0,8
5,11,Borussia Mönchengladbach,5,2,0,3,6.0,8.0,-2.0,6
5,12,1. FSV Mainz 05,5,1,2,2,8.0,10.0,-2.0,5
5,13,VfL Wolfsburg,5,1,1,3,10.0,11.0,-1.0,4
5,14,FC St. Pauli,5,1,1,3,4.0,6.0,-2.0,4
5,15,FC Augsburg,5,1,1,3,7.0,14.0,-7.0,4
5,16,TSG 1899 Hoffenheim,5,1,0,4,9.0,15.0,-6.0,3
5,17,VfL Bochum,5,0,1,4,5.0,11.0,-6.0,1
5,18,Holstein Kiel,5,0,1,4,7.0,17.0,-10.0,1
6,1,FC Bayern München,6,4,2,0,20.0,7.0,13.0,14
6,2,RB Leipzig,6,4,2,0,9.0,2.0,7.0,14
6,3,Eintracht Frankfurt,6,4,1,1,14.0,9.0,5.0,13
6,4,SC Freiburg,6,4,0,2,9.0,7.0,2.0,12
6,5,Bayer Leverkusen,6,3,2,1,16.0,12.0,4.0,11
6,6,1. FC Union Berlin,6,3,2,1,6.0,4.0,2.0,11
6,7,Borussia Dortmund,6,3,1,2,12.0,11.0,1.0,10
6,8,VfB Stuttgart,6,2,3,1,15.0,11.0,4.0,9
6,9,1. FC Heidenheim 1846,6,3,0,3,10.0,8.0,2.0,9
6,10,1. FSV Mainz 05,6,2,2,2,11.0,10.0,1.0,8
6,11,Werder Bremen,6,2,2,2,8.0,12.0,-4.0,8
6,12,VfL Wolfsburg,6,2,1,3,13.0,12.0,1.0,7
6,13,FC Augsburg,6,2,1,3,9.0,15.0,-6.0,7
6,14,Borussia Mönchengladbach,6,2,0,4,7.0,10.0,-3.0,6
6,15,FC St. Pauli,6,1,1,4,4.0,9.0,-5.0,4
6,16,TSG 1899 Hoffenheim,6,1,1,4,10.0,16.0,-6.0,4
6,17,Holstein Kiel,6,0,2,4,9.0,19.0,-10.0,2
6,18,VfL Bochum,6,0,1,5,6.0,14.0,-8.0,1
7,1,FC Bayern München,7,5,2,0,24.0,7.0,17.0,17
7,2,RB Leipzig,7,5,2,0,11.0,2.0,9.0,17
7,3,SC Freiburg,7,5,0,2,12.0,8.0,4.0,15
7,4,Bayer Leverkusen,7,4,2,1,18.0,13.0,5.0,14
7,5,1. FC Union Berlin,7,4,2,1,8.0,4.0,4.0,14
7,6,Eintracht Frankfurt,7,4,1,2,15.0,11.0,4.0,13
7,7,Borussia Dortmund,7,4,1,2,14.0,12.0,2.0,13
7,8,Werder Bremen,7,3,2,2,12.0,14.0,-2.0,11
7,9,1. FC Heidenheim 1846,7,3,0,4,12.0,11.0,1.0,9
7,10,VfB Stuttgart,7,2,3,2,15.0,15.0,0.0,9
7,11,Borussia Mönchengladbach,7,3,0,4,10.0,12.0,-2.0,9
7,12,1. FSV Mainz 05,7,2,2,3,11.0,12.0,-1.0,8
7,13,VfL Wolfsburg,7,2,1,4,15.0,16.0,-1.0,7
7,14,TSG 1899 Hoffenheim,7,2,1,4,13.0,17.0,-4.0,7
